Row ID,Postal Code,Sales
1,42420.0,261
2,42420.0,731
3,90036.0,14
4,33311.0,957
5,33311.0,22
6,90032.0,48
7,90032.0,7
8,90032.0,907
9,90032.0,18
10,90032.0,114
11,90032.0,1706
12,90032.0,911
13,28027.0,15
14,98103.0,407
15,76106.0,68
16,76106.0,2
17,53711.0,665
18,84084.0,55
19,94109.0,8
20,94109.0,213
21,94109.0,22
22,68025.0,19
23,68025.0,60
24,19140.0,71
25,84057.0,1044
26,90049.0,11
27,90049.0,90
28,19140.0,3083
29,19140.0,9
30,19140.0,124
31,19140.0,3
32,19140.0,86
33,19140.0,6
34,19140.0,15
35,77095.0,29
36,75080.0,1097
37,75080.0,190
38,77041.0,113
39,77041.0,532
40,77041.0,212
41,77041.0,371
42,60540.0,147
43,90049.0,77
44,32935.0,95
45,55122.0,45
46,55122.0,17
47,48185.0,211
48,19901.0,45
49,19901.0,21
50,47150.0,38
51,47150.0,75
52,47150.0,6
53,47150.0,89
54,10024.0,15
55,10024.0,1029
56,12180.0,208
57,12180.0,32
58,12180.0,319
59,12180.0,14
60,12180.0,30
61,12180.0,48
62,12180.0,1
63,90004.0,13
64,90004.0,25
65,90004.0,146
66,90004.0,79
67,60610.0,213
68,85234.0,1113
69,85234.0,167
70,22153.0,75
71,10009.0,4
72,49201.0,19
73,38109.0,831
74,38109.0,97
75,38109.0,72
76,77041.0,1
77,77041.0,9
78,77041.0,27
79,77070.0,19
80,35601.0,208
81,35601.0,16
82,94122.0,14
83,94122.0,21
84,27707.0,200
85,60623.0,230
86,29203.0,301
87,55901.0,19
88,55901.0,6
89,77095.0,158
90,90036.0,20
91,90036.0,73
92,90036.0,6
93,55407.0,12
94,55407.0,53
95,55407.0,32
96,97206.0,5
97,10009.0,96
98,94122.0,51
99,55106.0,77
100,60610.0,64
101,60610.0,95
102,60610.0,1
103,55901.0,23
104,80013.0,238
105,80013.0,102
106,80013.0,36
107,28205.0,74
108,28205.0,27
109,28205.0,3
110,60462.0,339
111,10035.0,41
112,50322.0,75
113,50322.0,27
114,43229.0,40
115,43229.0,4
116,43229.0,23
117,43229.0,130
118,98103.0,787
119,37620.0,157
120,19805.0,47
121,19805.0,30
122,19805.0,226
123,19805.0,115
124,19805.0,68
125,77041.0,600
126,61701.0,617
127,85023.0,2
128,85023.0,243
129,90004.0,81
130,90004.0,238
131,43229.0,59
132,43229.0,78
133,43229.0,21
134,95661.0,20
135,95661.0,35
136,95661.0,11
137,95661.0,4
138,95661.0,76
139,95661.0,65
140,95661.0,43
141,19140.0,82
142,94122.0,8
143,94122.0,10
144,94122.0,143
145,64055.0,839
146,91104.0,671
147,43055.0,93
148,53132.0,384
149,53132.0,149
150,53132.0,1951
151,53132.0,171
152,85254.0,157
153,85254.0,203
154,95123.0,58
155,95123.0,105
156,95123.0,80
157,98105.0,6
158,98115.0,457
159,73034.0,14
160,73034.0,944
161,90045.0,5
162,19134.0,54
163,88220.0,28
164,98115.0,27
165,78207.0,9
166,78207.0,8159
167,78207.0,275
168,78207.0,1740
169,78207.0,32
170,78207.0,177
171,78207.0,143
172,90004.0,20
173,90004.0,110
174,90004.0,340
175,60623.0,52
176,60623.0,20
177,77036.0,97
178,43055.0,396
179,43055.0,15
180,10009.0,3
181,62521.0,24
182,62521.0,408
183,71203.0,503
184,71203.0,149
185,71203.0,29
186,6824.0,7
187,90032.0,176
188,75051.0,37
189,75051.0,20
190,10035.0,899
191,10035.0,71
192,10035.0,51
193,10035.0,626
194,10035.0,19
195,92374.0,14
196,45011.0,7
197,45011.0,6
198,7090.0,46
199,19120.0,2
200,19120.0,16
201,44312.0,21
202,80219.0,218
203,80219.0,2
204,75220.0,66
205,37064.0,35
206,90604.0,444
207,48601.0,83
208,48601.0,131
209,48601.0,15
210,48601.0,52
211,48601.0,91
212,75220.0,20
213,44256.0,23
214,44256.0,452
215,44256.0,62
216,44256.0,1188
217,44256.0,89
218,90032.0,93
219,90032.0,302
220,43017.0,5
221,43017.0,22
222,43017.0,19
223,43017.0,72
224,43017.0,479
225,43017.0,27
226,48227.0,2
227,48227.0,622
228,48227.0,21
229,38401.0,161
230,38401.0,389
231,28205.0,18
232,33614.0,233
233,33614.0,620
234,33614.0,5
235,33614.0,258
236,33614.0,617
237,95051.0,10
238,60610.0,25
239,60610.0,419
240,60610.0,11
241,60610.0,31
242,60610.0,177
243,60610.0,4
244,60610.0,7
245,55044.0,2001
246,55044.0,166
247,55044.0,47
248,55044.0,1503
249,55044.0,25
250,94109.0,321
251,92037.0,7
252,92037.0,3347
253,10024.0,80
254,10024.0,361
255,60623.0,12
256,60623.0,82
257,60623.0,53
258,60623.0,647
259,10009.0,20
260,10009.0,221
